Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
Daegu Gyeongbuk Institute of Science and Technology (DGIST),KR,326,307,34,10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7,3.1,-0.5167762792489454,-0.30968091900407735
Istanbul Technical University,TR,326,404,34,27.0,67.2,9.7,17.0,8.3,19.8,76.1,69.1,70.3,1.8851879167818417,-1.6459921955965315
Kyung Hee University,KR,328,332,33.8,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,80.5,1.3577465068346948,-0.3131328288143359
Rutgers University–New Brunswick,US,328,299,33.8,36.2,28.1,46.3,12.8,18.0,28.2,78.0,25.7,95.4,1.6051825772751083,-0.5866820486793491
University of Delhi,IN,328,407,33.8,38.1,35.3,4.3,25.9,1.3,1.5,75.1,96.0,70.6,1.7310583252517935,-2.0202394781869626
Renmin (People's) University of China,CN,621-630,556,-,19.5,37.3,16.3,7.9,6.6,4.9,24.3,81.2,9.7,-0.16346590406627093,-1.7934254133867797
American University of Sharjah,AE,332,364,33.6,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,1.7859997853247125,1.9530046164360175
University of East Anglia (UEA),UK,332,295,33.6,17.2,7.2,15.2,58.7,66.8,32.2,87.9,19.2,91.4,1.6797039706470445,1.4295228744552768
Université Grenoble Alpes,FR,334,294,33.5,44.7,14.3,7.9,41.7,20.2,35.1,94.9,20.7,21.5,0.8877882413183934,0.15325389972349346
Indian Institute of Technology Roorkee (IITR),IN,335,369,33.4,19.4,29.0,6.8,93.8,1.3,2.0,44.3,6.4,37.9,0.16262634620722713,-0.23005603018851922
Flinders University,AU,336,380,33.3,13.5,5.6,7.2,51.8,97.2,88.8,80.8,7.4,87.4,2.0008764426249654,3.161809228604192
Lappeenranta-Lahti University of Technology LUT,FI,336,351,33.3,6.4,9.4,9.5,97.6,56.8,28.5,55.6,7.9,55.8,0.8026578808884721,1.6297932603025445
Xi’an Jiaotong University,CN,295,291,36.9,19.0,39.4,14.0,89.5,3.9,3.8,80.5,26.4,18.2,0.7706035892343457,-0.5856539456481938
University of the Philippines,PH,336,404,33.3,36.3,65.3,31.1,1.9,1.6,1.1,60.9,65.6,67.7,1.512165006535277,-2.4022734254390476
University of Saskatchewan,CA,340,345,33.2,11.1,5.3,18.2,57.0,77.3,49.5,82.3,32.1,90.7,1.8817361311106977,1.8064652835703214
University of South Australia,AU,340,326,33.2,21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5,83.6,1.9244515569661542,1.9929517004103743
Brunel University London,UK,342,343,33,11.1,13.3,7.1,46.5,99.1,99.8,77.9,19.9,71.2,2.0557413356071708,3.0982556303884787
Sharif University of Technology,IR,342,334,33,11.5,33.6,5.1,99.9,2.9,1.2,61.4,28.2,1.3,0.14610332709134727,-0.41331604082830947
Indian Institute of Technology Guwahati (IITG),IN,344,364,32.9,18.8,32.0,6.4,97.6,2.3,1.2,51.2,4.9,2.2,-0.15574017256810363,-0.23119721794277548
Tufts University,US,344,379,32.9,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,81.0,1.4476801415990581,-0.0761490852836385
